video_id,stage,total_active_cells,grid_size,grid_num,y,y_hat
control_sog_d_8,nc_13_late,150.33333333333331,250,4_4,"[[ 0.33333333  2.          1.66666667  4.        ]
 [ 7.66666667 11.66666667 17.66666667 14.33333333]
 [13.         18.66666667 19.         18.        ]
 [ 6.33333333  6.66666667  7.          2.33333333]]","[[ 1.54133333  3.67333333  1.92        2.29583333]
 [13.51166667 13.94333333 13.295      16.71      ]
 [18.69166667 15.5075     19.45666667 15.33366667]
 [ 5.31166667  8.71666667  6.02        6.265     ]]"
control_sog_d_8,nc_14_a,331.3333333333333,250,4_4,"[[ 0.          3.66666667  3.          8.        ]
 [28.66666667 42.33333333 37.         28.33333333]
 [39.         33.33333333 28.33333333 22.33333333]
 [20.66666667 17.33333333 13.33333333  6.        ]]","[[ 0.1775      3.99333333  0.62833333  0.97666667]
 [16.12583333 22.40666667 18.475       6.24833333]
 [26.35833333 28.965      21.31       17.22333333]
 [ 7.13       16.12166667  8.7         4.81766667]]"
control_sog_d_8,nc_14_b,383.6666666666667,250,4_4,"[[ 0.          0.33333333  2.          0.66666667]
 [13.33333333 30.66666667 44.66666667 36.        ]
 [45.         47.33333333 44.33333333 42.        ]
 [24.         22.33333333 19.66666667 11.33333333]]","[[ 1.49733333  2.56683333  1.90583333  6.705     ]
 [15.82716667 24.005      22.63083333 17.96383333]
 [40.78416667 20.0325     13.29166667 27.63116667]
 [17.11583333 13.6375     14.26833333  4.504     ]]"
control_sog_d_8,nc_14_c,326.75,250,4_4,"[[ 0.    0.    0.5   0.  ]
 [ 4.25 21.5  40.5  29.25]
 [41.25 43.   44.5  44.  ]
 [14.   17.   17.5   9.5 ]]","[[ 0.0325      0.26666667  2.06766667  2.40916667]
 [ 3.02916667 17.23816667 30.3125     13.658     ]
 [30.3625     26.38       29.56933333 31.18916667]
 [13.21083333 13.28416667 14.19266667  6.39633333]]"
control_sog_d_8,nc_14_d,278.0,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 0.25 10.75 33.75 26.5 ]
 [36.   43.   42.75 42.75]
 [11.   13.   11.75  6.5 ]]","[[2.50000000e-03 6.00000000e-02 1.77500000e-01 9.08333333e-02]
 [2.12200000e+00 5.68983333e+00 1.29623333e+01 1.01331667e+01]
 [2.79458333e+01 2.87930000e+01 2.41803333e+01 2.69123333e+01]
 [9.16100000e+00 1.01646667e+01 1.44365000e+01 3.46833333e+00]]"
control_sog_d_8,stage_6,214.0,250,4_4,"[[ 0.    0.    0.    0.  ]
 [ 0.5   9.75 26.75 21.25]
 [35.   34.25 37.25 31.75]
 [ 4.    4.25  5.25  4.  ]]","[[ 0.          0.          0.          0.0405    ]
 [14.61416667  1.5195     13.52283333  6.10416667]
 [20.737      26.89816667 29.74483333 29.642     ]
 [ 6.2195      5.696       9.91366667  2.219     ]]"
control_sog_d_9,nc_13_late,112.33333333333331,250,4_4,"[[ 0.33333333  0.33333333  1.66666667  1.66666667]
 [ 9.66666667 11.          7.          4.        ]
 [19.66666667 19.33333333 11.66666667  8.        ]
 [ 6.          7.33333333  3.33333333  1.33333333]]","[[ 1.28        1.51666667  3.12166667  1.17666667]
 [16.31       14.03666667 13.2275     12.97666667]
 [32.45666667 28.08633333 16.115      15.962     ]
 [10.82333333  5.89833333  3.74166667  3.47333333]]"
control_sog_d_9,nc_14_a,148.33333333333331,250,4_4,"[[ 0.33333333  3.66666667  2.66666667  2.        ]
 [22.66666667 19.33333333  6.33333333  1.        ]
 [40.         22.66666667  4.66666667  1.        ]
 [13.66666667  8.          0.33333333  0.        ]]","[[ 3.54333333  0.987       0.78        1.29      ]
 [ 9.855      16.72       14.51       20.56      ]
 [22.90833333 31.4275     21.59583333 27.95916667]
 [ 9.5875     13.25        9.11666667  3.44333333]]"
control_sog_d_9,nc_14_b,181.33333333333331,250,4_4,"[[ 0.66666667  2.          0.66666667  4.        ]
 [24.66666667 25.33333333 12.33333333  6.66666667]
 [39.33333333 30.33333333  9.66666667  2.        ]
 [13.         10.66666667  0.          0.        ]]","[[ 0.36166667  2.25733333  5.13266667  8.15833333]
 [23.07733333 21.35033333 18.47766667 16.94416667]
 [42.12       29.61333333 24.381      15.79166667]
 [12.795      12.29        7.01033333  7.31616667]]"
control_sog_d_9,nc_14_c,158.5,250,4_4,"[[ 0.25  1.    2.    4.  ]
 [21.   17.75  9.25  7.25]
 [38.5  28.75  6.75  3.5 ]
 [11.    6.75  0.5   0.25]]","[[2.59000000e-01 1.25000000e-02 7.41666667e-02 6.58550000e+00]
 [2.55940000e+01 2.37911667e+01 8.83800000e+00 1.11188333e+01]
 [3.61726667e+01 3.40193333e+01 2.19566667e+01 1.50910000e+01]
 [8.26716667e+00 7.93883333e+00 5.65516667e+00 3.57566667e+00]]"
control_sog_d_9,nc_14_d,129.5,250,4_4,"[[ 0.5  0.5  0.5  2. ]
 [19.  18.5 12.5  6. ]
 [31.5 20.   3.   1.5]
 [ 8.5  3.   2.5  0. ]]","[[1.45000000e-02 0.00000000e+00 2.45833333e-01 4.81666667e+00]
 [2.26455000e+01 2.03528333e+01 1.20653333e+01 1.85378333e+01]
 [3.47975000e+01 3.71940000e+01 3.29208333e+01 9.39450000e+00]
 [7.82116667e+00 6.64400000e+00 3.88666667e+00 2.21000000e+00]]"
control_sog_d_1,nc_13_late,186.33333333333331,125,8_8,"[[0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [2.66666667 1.66666667 1.66666667 3.33333333 0.66666667 1.33333333
  1.33333333 0.        ]
 [3.33333333 3.         3.66666667 3.33333333 2.         1.66666667
  2.66666667 3.        ]
 [3.         6.         3.33333333 5.66666667 5.         5.66666667
  5.66666667 4.33333333]
 [6.         4.33333333 5.33333333 6.33333333 5.66666667 5.
  5.33333333 5.        ]
 [4.         4.33333333 5.33333333 5.66666667 4.33333333 6.33333333
  4.66666667 5.        ]
 [0.66666667 1.         4.         4.         4.66666667 4.
  5.         4.33333333]
 [0.         0.         0.         0.         0.33333333 0.66666667
  0.66666667 0.33333333]]","[[0.02333333 0.         0.         0.         0.         0.
  0.         0.        ]
 [1.17377778 2.68777778 1.02666667 0.75       1.63333333 1.18
  1.24333333 1.04833333]
 [2.6405     1.43       6.82       5.74916667 1.43777778 1.21055556
  2.00333333 3.7675    ]
 [3.15833333 4.258      3.845      4.28333333 3.955      2.13666667
  1.76666667 2.57      ]
 [3.82666667 4.05833333 4.90666667 4.55       4.97333333 2.315
  5.09       3.04833333]
 [5.54666667 3.27166667 5.07444444 4.76       4.8        3.895
  3.59916667 4.02166667]
 [0.80333333 2.74777778 2.81833333 2.125      4.41333333 5.36333333
  3.4075     3.58      ]
 [0.         0.         0.         0.465      0.68       1.18
  1.32166667 0.70666667]]"
control_sog_d_1,nc_14_a,301.0,125,8_8,"[[ 0.          0.          0.          0.          0.          0.
   0.          0.        ]
 [ 2.33333333  2.          2.66666667  1.33333333  0.33333333  2.
   0.66666667  0.33333333]
 [ 4.33333333  5.          3.          4.33333333  5.33333333  3.66666667
   6.33333333  3.33333333]
 [ 6.66666667  6.33333333  4.33333333  5.          4.66666667  6.33333333
   5.66666667  5.        ]
 [12.33333333 10.33333333  7.          5.          9.          6.
   5.33333333  8.        ]
 [13.66666667 13.         11.          8.66666667  8.33333333  7.
   6.66666667  8.66666667]
 [ 1.66666667  4.66666667  8.66666667  9.66666667 11.         11.
   9.33333333  9.33333333]
 [ 0.          0.          0.          0.          0.66666667  1.
   2.          1.        ]]","[[0.         0.         0.         0.         0.         0.
  0.         0.        ]
 [0.4625     0.815      3.76333333 0.96916667 5.07166667 0.67333333
  1.85       0.46      ]
 [3.06       3.67683333 2.08583333 3.19416667 2.58083333 1.30166667
  2.74666667 2.56333333]
 [7.3        4.3875     5.68888889 5.15533333 6.10666667 4.21277778
  3.60633333 2.65333333]
 [7.22666667 8.82888889 6.90166667 4.82666667 5.38916667 5.64666667
  4.62333333 4.83166667]
 [7.39333333 9.06166667 6.2        6.32       5.85333333 4.8325
  4.635      6.01666667]
 [1.79666667 5.825      6.54333333 7.10666667 6.45333333 2.39333333
  2.58833333 5.255     ]
 [0.         0.         0.         0.         0.76333333 1.28333333
  0.95333333 1.04      ]]"
